# Invalid Icons (NOT found in glyphs-poly collection)
# Total: 85 icons

glyphs-poly:calendar-check        (CalendarCheck2Icon)
glyphs-poly:calendar-heart        (CalendarHeartIcon)
glyphs-poly:calendar-range        (CalendarRangeIcon)
glyphs-poly:calendar-search       (CalendarSearchIcon)
glyphs-poly:calendar-x            (CalendarX2Icon)

glyphs-poly:chevron-down          (ChevronDownIcon)
glyphs-poly:chevron-left          (ChevronLeftIcon)
glyphs-poly:chevron-right         (ChevronRightIcon)

glyphs-poly:chevrons-down-up      (ChevronsDownUpIcon)
glyphs-poly:chevrons-left         (ChevronsLeftIcon)
glyphs-poly:chevrons-right        (ChevronsRightIcon)
glyphs-poly:chevrons-up-down      (ChevronsUpDownIcon)

glyphs-poly:corner-down-left      (CornerDownLeftIcon)
glyphs-poly:corner-down-right     (CornerDownRightIcon)
glyphs-poly:dot                   (DotIcon)
glyphs-poly:download              (DownloadIcon)
glyphs-poly:ellipsis-vertical     (EllipsisVerticalIcon)
glyphs-poly:external-link         (ExternalLinkIcon)
glyphs-poly:file-download         (FileDownIcon)
glyphs-poly:fingerprint           (FingerprintIcon)
glyphs-poly:git-merge             (GitMergeIcon)
glyphs-poly:loader                (LoaderIcon)
glyphs-poly:mask                  (VenetianMaskIcon)
glyphs-poly:menu                  (MenuIcon)
glyphs-poly:phone-call            (PhoneCallIcon)
glyphs-poly:phone-incoming        (PhoneIncomingIcon)
glyphs-poly:phone-outgoing        (PhoneOutgoingIcon)
glyphs-poly:plus-circle           (CirclePlusIcon)
glyphs-poly:rotate-ccw            (RotateCcwIcon)
glyphs-poly:rotate-cw             (RotateCwIcon)
glyphs-poly:shield-check          (ShieldCheckIcon)
glyphs-poly:shuffle               (ShuffleIcon)
glyphs-poly:sliders-vertical      (SlidersVerticalIcon)
glyphs-poly:square-pen            (SquarePenIcon)
glyphs-poly:terminal              (TerminalIcon)
glyphs-poly:upload                (UploadIcon)
glyphs-poly:user-check            (UserCheckIcon)
glyphs-poly:user-plus             (UserPlusIcon)
glyphs-poly:user-x                (UserXIcon)
glyphs-poly:waypoints             (WaypointsIcon)
glyphs-poly:webhook               (WebhookIcon)
glyphs-poly:x-circle              (CircleXIcon)
glyphs-poly:zap                   (ZapIcon)
